File_name,Type,Cost,C_max
prev_Truck_20_LP_0_0_100_1rep.csv,Min,63800,427.12
now_Truck_20_LP_0_0_100_1rep.csv,Min,68000,436.192
prev_Truck_20_LP_40_50_10_1rep.csv,Min,34751,413.552
now_Truck_20_LP_40_50_10_1rep.csv,Min,34924,451.584
prev_Truck_20_LP_0_0_100_1rep.csv,Middle,98400,466.88
now_Truck_20_LP_0_0_100_1rep.csv,Middle,108800,500.84
prev_Truck_20_LP_40_50_10_1rep.csv,Middle,53500,495.44
now_Truck_20_LP_40_50_10_1rep.csv,Middle,49286,499.856
prev_Truck_20_LP_0_0_100_1rep.csv,Max,119600,521.536
now_Truck_20_LP_0_0_100_1rep.csv,Max,124200,504.096
prev_Truck_20_LP_40_50_10_1rep.csv,Max,63222,518.624
now_Truck_20_LP_40_50_10_1rep.csv,Max,57622,503.84
prev_Truck_20_LP_0_0_100_2rep.csv,Min,56800,412.888
now_Truck_20_LP_0_0_100_2rep.csv,Min,53600,399.488
prev_Truck_20_LP_40_50_10_2rep.csv,Min,31534,422.112
now_Truck_20_LP_40_50_10_2rep.csv,Min,25341,428.496
prev_Truck_20_LP_0_0_100_2rep.csv,Middle,98600,471.872
now_Truck_20_LP_0_0_100_2rep.csv,Middle,88400,445.64
prev_Truck_20_LP_40_50_10_2rep.csv,Middle,51842,458.544
now_Truck_20_LP_40_50_10_2rep.csv,Middle,48567,450.272
prev_Truck_20_LP_0_0_100_2rep.csv,Max,114200,487.36
now_Truck_20_LP_0_0_100_2rep.csv,Max,106000,469.496
prev_Truck_20_LP_40_50_10_2rep.csv,Max,59858,494.936
now_Truck_20_LP_40_50_10_2rep.csv,Max,55768,465.312
prev_Truck_20_LP_0_0_100_3rep.csv,Min,49000,434.344
now_Truck_20_LP_0_0_100_3rep.csv,Min,62000,437.888
prev_Truck_20_LP_40_50_10_3rep.csv,Min,25024,452.6
now_Truck_20_LP_40_50_10_3rep.csv,Min,31639,429.896
prev_Truck_20_LP_0_0_100_3rep.csv,Middle,87400,441.76
now_Truck_20_LP_0_0_100_3rep.csv,Middle,97200,487.2
prev_Truck_20_LP_40_50_10_3rep.csv,Middle,42346,472.24
now_Truck_20_LP_40_50_10_3rep.csv,Middle,47857,500.048
prev_Truck_20_LP_0_0_100_3rep.csv,Max,101000,483.992
now_Truck_20_LP_0_0_100_3rep.csv,Max,112200,491.808
prev_Truck_20_LP_40_50_10_3rep.csv,Max,50053,465.576
now_Truck_20_LP_40_50_10_3rep.csv,Max,57393,497.168
prev_Truck_20_LP_0_0_100_4rep.csv,Min,59600,418.248
now_Truck_20_LP_0_0_100_4rep.csv,Min,52600,431.656
prev_Truck_20_LP_40_50_10_4rep.csv,Min,33843,410.104
now_Truck_20_LP_40_50_10_4rep.csv,Min,25801,411.568
prev_Truck_20_LP_0_0_100_4rep.csv,Middle,89600,446.456
now_Truck_20_LP_0_0_100_4rep.csv,Middle,90800,463.392
prev_Truck_20_LP_40_50_10_4rep.csv,Middle,49958,451.992
now_Truck_20_LP_40_50_10_4rep.csv,Middle,48198,448.432
prev_Truck_20_LP_0_0_100_4rep.csv,Max,107400,469.824
now_Truck_20_LP_0_0_100_4rep.csv,Max,109000,490.352
prev_Truck_20_LP_40_50_10_4rep.csv,Max,56911,476.52
now_Truck_20_LP_40_50_10_4rep.csv,Max,56117,476.584
prev_Truck_20_LP_0_0_100_5rep.csv,Min,63600,405.464
now_Truck_20_LP_0_0_100_5rep.csv,Min,57200,415.328
prev_Truck_20_LP_40_50_10_5rep.csv,Min,34687,413.456
now_Truck_20_LP_40_50_10_5rep.csv,Min,28677,392.352
prev_Truck_20_LP_0_0_100_5rep.csv,Middle,105200,458.536
now_Truck_20_LP_0_0_100_5rep.csv,Middle,88400,445.552
prev_Truck_20_LP_40_50_10_5rep.csv,Middle,53272,457.392
now_Truck_20_LP_40_50_10_5rep.csv,Middle,44056,462.352
prev_Truck_20_LP_0_0_100_5rep.csv,Max,119600,501.416
now_Truck_20_LP_0_0_100_5rep.csv,Max,103400,472.848
prev_Truck_20_LP_40_50_10_5rep.csv,Max,61920,475.536
now_Truck_20_LP_40_50_10_5rep.csv,Max,53189,486.976
prev_Truck_20_LP_0_0_100_6rep.csv,Min,56400,413.536
now_Truck_20_LP_0_0_100_6rep.csv,Min,58400,426.856
prev_Truck_20_LP_40_50_10_6rep.csv,Min,32129,413.208
now_Truck_20_LP_40_50_10_6rep.csv,Min,27092,412.352
prev_Truck_20_LP_0_0_100_6rep.csv,Middle,89400,454.144
now_Truck_20_LP_0_0_100_6rep.csv,Middle,93200,477.856
prev_Truck_20_LP_40_50_10_6rep.csv,Middle,47946,457.224
now_Truck_20_LP_40_50_10_6rep.csv,Middle,47255,476.4
prev_Truck_20_LP_0_0_100_6rep.csv,Max,103200,482.768
now_Truck_20_LP_0_0_100_6rep.csv,Max,108600,489.104
prev_Truck_20_LP_40_50_10_6rep.csv,Max,54356,464.92
now_Truck_20_LP_40_50_10_6rep.csv,Max,55624,499.736
prev_Truck_20_LP_0_0_100_7rep.csv,Min,67200,451.544
now_Truck_20_LP_0_0_100_7rep.csv,Min,65800,431.256
prev_Truck_20_LP_40_50_10_7rep.csv,Min,38182,457.304
now_Truck_20_LP_40_50_10_7rep.csv,Min,34605,447.488
prev_Truck_20_LP_0_0_100_7rep.csv,Middle,102400,492.688
now_Truck_20_LP_0_0_100_7rep.csv,Middle,102600,488.296
prev_Truck_20_LP_40_50_10_7rep.csv,Middle,54235,469.68
now_Truck_20_LP_40_50_10_7rep.csv,Middle,52659,474.944
prev_Truck_20_LP_0_0_100_7rep.csv,Max,115000,481.128
now_Truck_20_LP_0_0_100_7rep.csv,Max,117200,490.952
prev_Truck_20_LP_40_50_10_7rep.csv,Max,60784,481.664
now_Truck_20_LP_40_50_10_7rep.csv,Max,57410,505.96
prev_Truck_20_LP_0_0_100_8rep.csv,Min,59800,434.08
now_Truck_20_LP_0_0_100_8rep.csv,Min,58800,430.52
prev_Truck_20_LP_40_50_10_8rep.csv,Min,34374,434.984
now_Truck_20_LP_40_50_10_8rep.csv,Min,28708,413.224
prev_Truck_20_LP_0_0_100_8rep.csv,Middle,100000,489.0
now_Truck_20_LP_0_0_100_8rep.csv,Middle,98600,489.888
prev_Truck_20_LP_40_50_10_8rep.csv,Middle,52872,460.24
now_Truck_20_LP_40_50_10_8rep.csv,Middle,50956,484.056
prev_Truck_20_LP_0_0_100_8rep.csv,Max,113800,504.168
now_Truck_20_LP_0_0_100_8rep.csv,Max,113200,492.072
prev_Truck_20_LP_40_50_10_8rep.csv,Max,61555,484.408
now_Truck_20_LP_40_50_10_8rep.csv,Max,59065,484.016
prev_Truck_20_LP_0_0_100_9rep.csv,Min,61600,416.808
now_Truck_20_LP_0_0_100_9rep.csv,Min,60400,466.312
prev_Truck_20_LP_40_50_10_9rep.csv,Min,34267,451.84
now_Truck_20_LP_40_50_10_9rep.csv,Min,31006,453.392
prev_Truck_20_LP_0_0_100_9rep.csv,Middle,96200,457.072
now_Truck_20_LP_0_0_100_9rep.csv,Middle,89200,463.272
prev_Truck_20_LP_40_50_10_9rep.csv,Middle,51919,476.144
now_Truck_20_LP_40_50_10_9rep.csv,Middle,46813,465.784
prev_Truck_20_LP_0_0_100_9rep.csv,Max,114600,493.984
now_Truck_20_LP_0_0_100_9rep.csv,Max,104200,474.264
prev_Truck_20_LP_40_50_10_9rep.csv,Max,60152,481.096
now_Truck_20_LP_40_50_10_9rep.csv,Max,52352,480.656
prev_Truck_20_LP_0_0_100_10rep.csv,Min,59000,417.392
now_Truck_20_LP_0_0_100_10rep.csv,Min,59200,425.0
prev_Truck_20_LP_40_50_10_10rep.csv,Min,34613,422.096
now_Truck_20_LP_40_50_10_10rep.csv,Min,31526,406.744
prev_Truck_20_LP_0_0_100_10rep.csv,Middle,99400,473.6
now_Truck_20_LP_0_0_100_10rep.csv,Middle,100200,464.312
prev_Truck_20_LP_40_50_10_10rep.csv,Middle,52890,478.4
now_Truck_20_LP_40_50_10_10rep.csv,Middle,47376,447.368
prev_Truck_20_LP_0_0_100_10rep.csv,Max,111000,505.96
now_Truck_20_LP_0_0_100_10rep.csv,Max,114200,483.008
prev_Truck_20_LP_40_50_10_10rep.csv,Max,61093,494.728
now_Truck_20_LP_40_50_10_10rep.csv,Max,55531,490.456
prev_Truck_20_LP_0_0_100_11rep.csv,Min,61400,454.784
now_Truck_20_LP_0_0_100_11rep.csv,Min,62200,421.992
prev_Truck_20_LP_40_50_10_11rep.csv,Min,35932,461.632
now_Truck_20_LP_40_50_10_11rep.csv,Min,32778,438.824
prev_Truck_20_LP_0_0_100_11rep.csv,Middle,97600,479.152
now_Truck_20_LP_0_0_100_11rep.csv,Middle,99000,637.568
prev_Truck_20_LP_40_50_10_11rep.csv,Middle,52681,468.92
now_Truck_20_LP_40_50_10_11rep.csv,Middle,50709,483.352
prev_Truck_20_LP_0_0_100_11rep.csv,Max,110600,471.872
now_Truck_20_LP_0_0_100_11rep.csv,Max,115800,495.936
prev_Truck_20_LP_40_50_10_11rep.csv,Max,60939,502.776
now_Truck_20_LP_40_50_10_11rep.csv,Max,58297,531.048
prev_Truck_20_LP_0_0_100_12rep.csv,Min,60000,428.824
now_Truck_20_LP_0_0_100_12rep.csv,Min,60000,415.696
prev_Truck_20_LP_40_50_10_12rep.csv,Min,34819,417.872
now_Truck_20_LP_40_50_10_12rep.csv,Min,28806,432.224
prev_Truck_20_LP_0_0_100_12rep.csv,Middle,94000,467.72
now_Truck_20_LP_0_0_100_12rep.csv,Middle,94600,482.6
prev_Truck_20_LP_40_50_10_12rep.csv,Middle,50558,449.688
now_Truck_20_LP_40_50_10_12rep.csv,Middle,49197,475.16
prev_Truck_20_LP_0_0_100_12rep.csv,Max,108000,609.776
now_Truck_20_LP_0_0_100_12rep.csv,Max,110400,539.28
prev_Truck_20_LP_40_50_10_12rep.csv,Max,59323,481.464
now_Truck_20_LP_40_50_10_12rep.csv,Max,55479,501.136
prev_Truck_20_LP_0_0_100_13rep.csv,Min,59400,410.704
now_Truck_20_LP_0_0_100_13rep.csv,Min,59800,413.16
prev_Truck_20_LP_40_50_10_13rep.csv,Min,33564,407.376
now_Truck_20_LP_40_50_10_13rep.csv,Min,29441,415.96
prev_Truck_20_LP_0_0_100_13rep.csv,Middle,97400,449.856
now_Truck_20_LP_0_0_100_13rep.csv,Middle,101000,476.568
prev_Truck_20_LP_40_50_10_13rep.csv,Middle,52352,460.016
now_Truck_20_LP_40_50_10_13rep.csv,Middle,52349,476.496
prev_Truck_20_LP_0_0_100_13rep.csv,Max,115600,482.528
now_Truck_20_LP_0_0_100_13rep.csv,Max,119600,491.968
prev_Truck_20_LP_40_50_10_13rep.csv,Max,62202,483.504
now_Truck_20_LP_40_50_10_13rep.csv,Max,60155,505.528
prev_Truck_20_LP_0_0_100_14rep.csv,Min,61800,448.104
now_Truck_20_LP_0_0_100_14rep.csv,Min,58600,428.44
prev_Truck_20_LP_40_50_10_14rep.csv,Min,34276,415.64
now_Truck_20_LP_40_50_10_14rep.csv,Min,31557,423.952
prev_Truck_20_LP_0_0_100_14rep.csv,Middle,103200,483.064
now_Truck_20_LP_0_0_100_14rep.csv,Middle,99400,471.248
prev_Truck_20_LP_40_50_10_14rep.csv,Middle,52469,475.04
now_Truck_20_LP_40_50_10_14rep.csv,Middle,48747,468.424
prev_Truck_20_LP_0_0_100_14rep.csv,Max,119000,494.64
now_Truck_20_LP_0_0_100_14rep.csv,Max,111600,480.624
prev_Truck_20_LP_40_50_10_14rep.csv,Max,61280,506.52
now_Truck_20_LP_40_50_10_14rep.csv,Max,52190,484.48
prev_Truck_20_LP_0_0_100_15rep.csv,Min,54200,400.464
now_Truck_20_LP_0_0_100_15rep.csv,Min,67000,429.08
prev_Truck_20_LP_40_50_10_15rep.csv,Min,29711,393.544
now_Truck_20_LP_40_50_10_15rep.csv,Min,33683,453.144
prev_Truck_20_LP_0_0_100_15rep.csv,Middle,89400,451.896
now_Truck_20_LP_0_0_100_15rep.csv,Middle,99800,462.872
prev_Truck_20_LP_40_50_10_15rep.csv,Middle,46750,446.944
now_Truck_20_LP_40_50_10_15rep.csv,Middle,51110,472.224
prev_Truck_20_LP_0_0_100_15rep.csv,Max,105400,466.792
now_Truck_20_LP_0_0_100_15rep.csv,Max,117000,535.224
prev_Truck_20_LP_40_50_10_15rep.csv,Max,54374,458.736
now_Truck_20_LP_40_50_10_15rep.csv,Max,58633,503.216
prev_Truck_20_LP_0_0_100_16rep.csv,Min,55200,442.696
now_Truck_20_LP_0_0_100_16rep.csv,Min,51200,400.728
prev_Truck_20_LP_40_50_10_16rep.csv,Min,31623,416.4
now_Truck_20_LP_40_50_10_16rep.csv,Min,25219,410.032
prev_Truck_20_LP_0_0_100_16rep.csv,Middle,97200,474.152
now_Truck_20_LP_0_0_100_16rep.csv,Middle,88000,467.952
prev_Truck_20_LP_40_50_10_16rep.csv,Middle,52434,462.056
now_Truck_20_LP_40_50_10_16rep.csv,Middle,43291,443.176
prev_Truck_20_LP_0_0_100_16rep.csv,Max,115800,505.912
now_Truck_20_LP_0_0_100_16rep.csv,Max,101800,503.768
prev_Truck_20_LP_40_50_10_16rep.csv,Max,60856,501.92
now_Truck_20_LP_40_50_10_16rep.csv,Max,52958,480.408
prev_Truck_20_LP_0_0_100_17rep.csv,Min,59800,568.248
now_Truck_20_LP_0_0_100_17rep.csv,Min,52200,437.952
prev_Truck_20_LP_40_50_10_17rep.csv,Min,33706,417.36
now_Truck_20_LP_40_50_10_17rep.csv,Min,26107,407.224
prev_Truck_20_LP_0_0_100_17rep.csv,Middle,97800,470.992
now_Truck_20_LP_0_0_100_17rep.csv,Middle,87000,449.128
prev_Truck_20_LP_40_50_10_17rep.csv,Middle,50311,472.104
now_Truck_20_LP_40_50_10_17rep.csv,Middle,46210,486.592
prev_Truck_20_LP_0_0_100_17rep.csv,Max,110000,457.672
now_Truck_20_LP_0_0_100_17rep.csv,Max,104000,488.0
prev_Truck_20_LP_40_50_10_17rep.csv,Max,57845,487.656
now_Truck_20_LP_40_50_10_17rep.csv,Max,53560,474.648
prev_Truck_20_LP_0_0_100_18rep.csv,Min,58800,452.08
now_Truck_20_LP_0_0_100_18rep.csv,Min,60600,427.72
prev_Truck_20_LP_40_50_10_18rep.csv,Min,33670,434.936
now_Truck_20_LP_40_50_10_18rep.csv,Min,31531,425.184
prev_Truck_20_LP_0_0_100_18rep.csv,Middle,98400,473.536
now_Truck_20_LP_0_0_100_18rep.csv,Middle,101600,471.952
prev_Truck_20_LP_40_50_10_18rep.csv,Middle,53392,456.896
now_Truck_20_LP_40_50_10_18rep.csv,Middle,48335,470.448
prev_Truck_20_LP_0_0_100_18rep.csv,Max,116200,490.672
now_Truck_20_LP_0_0_100_18rep.csv,Max,117800,527.44
prev_Truck_20_LP_40_50_10_18rep.csv,Max,60661,499.872
now_Truck_20_LP_40_50_10_18rep.csv,Max,58985,543.408
prev_Truck_20_LP_0_0_100_19rep.csv,Min,56600,404.28
now_Truck_20_LP_0_0_100_19rep.csv,Min,55000,408.76
prev_Truck_20_LP_40_50_10_19rep.csv,Min,31201,424.216
now_Truck_20_LP_40_50_10_19rep.csv,Min,29648,400.16
prev_Truck_20_LP_0_0_100_19rep.csv,Middle,95600,451.832
now_Truck_20_LP_0_0_100_19rep.csv,Middle,88600,466.656
prev_Truck_20_LP_40_50_10_19rep.csv,Middle,49169,458.096
now_Truck_20_LP_40_50_10_19rep.csv,Middle,44628,447.344
prev_Truck_20_LP_0_0_100_19rep.csv,Max,112400,500.224
now_Truck_20_LP_0_0_100_19rep.csv,Max,104200,526.728
prev_Truck_20_LP_40_50_10_19rep.csv,Max,56993,474.568
now_Truck_20_LP_40_50_10_19rep.csv,Max,51653,479.936
prev_Truck_20_LP_0_0_100_20rep.csv,Min,64400,430.8
now_Truck_20_LP_0_0_100_20rep.csv,Min,57800,418.064
prev_Truck_20_LP_40_50_10_20rep.csv,Min,36958,432.672
now_Truck_20_LP_40_50_10_20rep.csv,Min,27338,398.592
prev_Truck_20_LP_0_0_100_20rep.csv,Middle,101800,479.488
now_Truck_20_LP_0_0_100_20rep.csv,Middle,98400,486.808
prev_Truck_20_LP_40_50_10_20rep.csv,Middle,52112,484.68
now_Truck_20_LP_40_50_10_20rep.csv,Middle,48319,458.872
prev_Truck_20_LP_0_0_100_20rep.csv,Max,112800,490.896
now_Truck_20_LP_0_0_100_20rep.csv,Max,115600,490.912
prev_Truck_20_LP_40_50_10_20rep.csv,Max,59834,480.576
now_Truck_20_LP_40_50_10_20rep.csv,Max,62918,505.376
